Unnamed: 0,Public company,Type,Income,Year
489,1017,上半年收入,30.7亿港元,2015
490,1144,上半年收入,6.346亿美元,2015
491,989,上半年收入,48.9亿港元,2015
492,988,上半年收入,46.1亿港元,2015
493,1145,上半年收入,270亿欧元,2015
494,1146,上半年收入,53亿港元,2015
495,1147,上半年收入,133.5亿美元,2015
496,1148,上半年收入,*合生元,2015
497,1149,上半年收入,28.8亿港元,2015
498,1150,上半年收入,269.9亿欧元,2015
499,925,上半年收入,759亿元,2015
500,925,上半年收入,759亿元,2015
501,957,上半年收入,52.3亿港元,2015
502,1078,上半年收入,734亿元,2015
503,1151,上半年收入,11.3亿港元,2015
504,866,上半年收入,502.1亿元,2014
505,1152,上半年收入,299.4亿元,2014
506,1153,上半年收入,52.4亿元,2014
507,1114,上半年收入,659.73亿元,2014
508,860,上半年收入,491.2亿元,2014
509,1057,上半年收入,633.4亿元,2014
510,1154,上半年收入,562亿元,2014
511,944,上半年收入,87.1亿美元,2014
512,1015,上半年收入,47.5亿元,2014
513,920,上半年收入,140.6亿美元,2014
514,976,上半年收入,409.6亿元,2014
515,1013,上半年收入,301.1亿港元,2014
516,1155,上半年收入,3247亿元,2014
517,1028,上半年收入,32.4亿美元,2014
518,1156,上半年收入,1495.7亿元,2014
519,1157,上半年收入,2044.85亿港元,2014
520,1158,上半年收入,147亿港元,2014
521,925,上半年收入,358亿元,2014
522,846,上半年收入,414.8亿元,2013
523,309,上半年收入,60.4亿元,2013
524,1152,上半年收入,302亿元,2013
525,997,上半年收入,158.6亿元,2013
526,866,上半年收入,462亿元,2013
527,954,上半年收入,192.1亿港元,2013
528,1159,上半年收入,56.6亿元,2013
529,1160,上半年收入,23.9亿元,2013
530,855,上半年收入,1.1万亿元,2013
531,854,上半年收入,390亿元,2013
532,920,上半年收入,213.9亿美元,2013
533,985,上半年收入,323亿港元,2013
534,959,上半年收入,52亿美元,2013
535,918,上半年收入,237.8亿港元,2013
536,919,上半年收入,031亿元,2013
537,921,上半年收入,485.8亿港元,2013
538,1161,上半年收入,25.7亿元,2013
539,944,上半年收入,91.3亿美元,2013
540,912,上半年收入,443.1亿元,2013
541,976,上半年收入,413.9亿元,2013
542,312,上半年收入,343.7亿美元,2013
543,1162,上半年收入,146.5亿港元,2013
544,1163,上半年收入,990.8亿港元,2013
545,1164,上半年收入,138亿元,2013
546,978,上半年收入,377.1亿元,2013
547,973,上半年收入,231.3亿元,2012
548,309,上半年收入,57.9亿元,2012
549,1165,上半年收入,670.7亿元,2012
550,1161,上半年收入,28.1亿元,2012
551,974,上半年收入,680.6亿元,2012
552,1166,上半年收入,225.8亿元,2012
553,1167,上半年收入,393.8亿元,2012
554,866,上半年收入,480.3亿元,2012
555,1168,上半年收入,981亿元,2012
556,1169,上半年收入,464亿元,2012
557,913,上半年收入,283.2亿港元,2012
558,959,上半年收入,57.1亿美元,2012
559,1154,上半年收入,481亿元,2012
560,912,上半年收入,1216.9亿元,2012
561,917,上半年收入,182.5亿港元,2012
562,899,上半年收入,71.8亿港元,2012
563,978,上半年收入,426.4亿元,2012
564,904,上半年收入,111.8亿元,2012
565,854,上半年收入,182.7亿元,2012
566,985,上半年收入,309.4亿港元,2012
567,919,上半年收入,665亿元,2012
568,923,上半年收入,461.6亿港元,2012
569,1170,上半年收入,171.5亿港元,2012
570,918,上半年收入,193.9亿港元,2012
571,1027,上半年收入,393亿港元,2012
572,921,上半年收入,488.6亿港元,2012
573,1171,上半年收入,307.2亿元,2012
574,1163,上半年收入,949.9亿港元,2012
575,1162,上半年收入,177.2亿港元,2012
576,1028,上半年收入,31.2亿美元,2012
577,1172,上半年收入,671.8亿元,2012
578,988,上半年收入,42.3亿港元,2012
579,1159,上半年收入,50.6亿元,2012
580,309,上半年收入,58亿元,2012
581,964,上半年收入,28亿港元,2012
582,992,上半年收入,364.2亿港元,2012
583,844,上半年收入,57.6亿港元,2012
584,1173,上半年收入,28.9亿港元,2011
585,1174,上半年收入,2.579亿元,2011
586,971,上半年收入,122亿元,2011
587,1175,上半年收入,396.1亿欧元,2011
588,913,上半年收入,136.7亿港元,2011
589,979,上半年收入,276.4亿元,2011
590,974,上半年收入,637.1亿元,2011
591,978,上半年收入,373.4亿元,2011
592,1168,上半年收入,112亿元,2011
593,1059,上半年收入,42亿港元,2011
594,846,上半年收入,387.8亿元,2011
595,1176,上半年收入,29.9亿美元,2011
596,1177,上半年收入,145.4亿元,2011
597,1178,上半年收入,353亿元,2011
598,1179,上半年收入,106亿元,2011
599,1086,上半年收入,12.2亿港元,2011
600,1180,上半年收入,27.5亿美元,2011
601,973,上半年收入,298.1亿元,2011
602,959,上半年收入,63.2亿美元,2011
603,1111,上半年收入,72亿元,2011
604,882,上半年收入,007亿元,2011
605,865,上半年收入,659.7亿元,2011
606,1152,上半年收入,342.3亿元,2011
